,clusters,x,y,Cluster_count,Fx,Fy,magnitude
223,222,-1935.3268571428573,-2784.632285714286,35,-70700.8548,-3844.5135,70805.3045576556
224,223,-1412.9935616438356,-2953.4587671232875,73,-219349.3005,-221671.1539,311852.87573020195
225,224,-2065.6981632653064,-2952.145510204082,49,-150533.975,-45358.407179999995,157219.15510270145
226,225,-1995.6425287356321,-2856.587088122605,261,-1432407.939,-291501.47885,1461767.9760762188
227,226,-1493.8080851063828,-2883.5953191489366,47,-99339.5125,-22275.2135,101806.30569963845
228,227,-1611.431652173913,-2925.2986956521736,115,-619864.01889375,-622523.0139,878502.3077683125
229,228,-1663.0698529411766,-2687.2885294117646,68,-200454.10499999998,-79421.973,215614.69802998996
230,229,-1754.2789364640882,-2827.1461464088397,724,-3331245.34954,-4004867.03106,5209237.517651044
231,230,-3070.853,-1132.2055,20,-2597834.85763,88772.35999999999,2599351.165082827
232,231,-2302.0244444444447,1319.882962962963,27,-49966.663,-25980.823,56317.586730193776
233,232,-591.264112385321,3660.70376146789,436,-1735220.17035,-160013.44338200003,1742582.377293093
234,233,651.880896551724,-2797.9606896551722,29,16936.835,-54058.240000000005,56649.35738130509
235,234,987.6436911764705,-3023.0522058823526,68,33302.079471,56410.165649999995,65506.75755792862
236,235,3555.528467153285,-1100.427810218978,137,-19751.5689,-166375.5752,167543.89424011338
237,236,-2445.5952173913042,950.8780434782609,23,-51486.687999999995,-132513.417,142164.28780191328
238,237,-648.0561034482758,2925.734827586207,29,-100894.975,-7334.385000000002,101161.20394488615
239,238,-1172.4354304635763,-2673.954569536424,151,-1395578.8001,3922520.0363,4163388.4784467937
240,239,-738.5383538461539,-3119.2143076923076,65,-6678.672379999998,37659.943400000004,38247.562035384406
241,240,-1070.99534,-2338.3979,100,-242023.26561,-405463.42691000004,472203.18895379093
242,241,-1332.0514285714287,-1129.2709523809524,42,370772.7951,1069315.5962,1131772.1987497432
243,242,-328.33550561797756,-3238.8107865168536,89,-28577.1962,-7938.2298,29659.25884122701
244,243,-1843.174358974359,1749.2793589743592,78,329624.45912,95265.565,343114.8669540884
245,244,-1173.8476744186046,3141.5202325581395,43,-399711.009,7950.462000000007,399790.07061433076
246,245,-2439.8445714285713,653.2873428571429,35,-3625.849099999999,-47909.5173,48046.52567683713
247,246,-2533.8191304347824,893.5129999999999,23,-48270.509,-64955.850399999996,80927.77360280129
248,247,-1882.8785416666667,-1590.727708333333,48,-14921.31395,-1636.8313599999997,15010.823658132289
249,248,-2465.333043478261,-1285.2245652173913,46,844.6118099999987,77772.2877,77776.87383278634
250,249,-2250.4915789473685,-2221.582425629291,437,158259.989572,-382204.35003000003,413674.25527966366
251,250,-2126.9357692307694,-2006.4211538461536,26,-572.1813000000002,-5984.341,6011.632776904349
252,251,-3407.3528571428574,1527.8838095238095,21,17996.85752,-2535.5053,18174.588515878666
253,252,-2157.787356051704,-1469.6722444183315,851,444487.215576,116242.101035,459435.6438757627
254,253,-2066.7647445255475,-1625.2966423357666,137,42917.3664,-107107.1343,115385.6081002743
255,254,-2080.1783116883116,-1914.7672727272725,77,8906.858199999997,-64745.7246,65355.49691475043
256,255,-2023.998984375,-1802.8243359374999,256,66219.70208,-149416.949858,163433.39269693953
257,256,-1941.5525581395348,-1704.1453488372092,43,-6140.0236,-8684.561880000001,10635.859384934822
258,257,-2042.2661788617886,-1702.6530894308942,123,85746.76288,-251476.8362,265693.63276066777
259,258,-1817.425090909091,-1503.8510909090908,55,-29644.1339,-14645.836671,33064.71240574667
260,259,-2361.3352,-1286.1736,25,11049.650099999999,28615.249,30674.53736675471
261,260,-1848.8485436893204,-1388.1806796116502,103,-130430.0304,-98523.76175,163459.24403200843
262,261,-1925.5004545454547,-1374.5377272727274,22,-26694.8865,58746.616369999996,64527.373262607194
263,262,-2307.365,-1249.2822727272726,22,38421.60110000001,23738.6627,45163.51998983132
264,263,-2356.522523364486,-1172.4960280373832,214,-41444.0631,-15468.900485999999,44236.83135671623
265,264,-2172.628269230769,-1323.1734615384617,104,-53676.06284,-31019.39356,61994.53604015275
266,265,-2098.931666666667,-1343.9795833333335,24,-10633.8238,33170.9151,34833.71667193804
267,266,-6.489790578947368,2607.0426315789473,38,21111.0284,-78087.1971,80890.57961864198
268,267,-71.26109701492537,2699.5632835820893,67,19781.800799999997,-67867.95400000001,70692.1411688527
269,268,-444.7082258064516,3120.420967741936,31,-33117.003,-19633.247719999996,38499.354588575814
270,269,-506.8381230769231,3177.8031538461537,130,208376.3803,-88620.72139,226438.39808348368
271,270,-2921.859213483146,-841.3116292134831,89,-22670.5766,16724.5698,28172.083316140102
272,271,-152.88058773108628,3592.8274445869206,5459,-3775885.493545,5938926.0004911,7037624.123216072
273,272,-3539.224722222222,-1118.3858333333333,36,-46358.8569,9526.5013,47327.55899149648
274,273,-3305.543,-1534.8045,20,-76007.1615,127413.09,148361.66655384802
275,274,-3570.1853488372094,-1176.9872093023255,86,-120647.12451,69804.6995,139385.88423802727
276,275,-3549.2396153846153,-1268.9348076923077,52,-91505.59104,-207192.143148,226499.133273929
277,276,-163.22567676767676,2847.4776767676767,99,-220767.5729,341927.82340000005,407004.8619601717
278,277,-272.86048917748917,3046.6701731601734,231,9473.022409999989,103578.86607,104011.15156524016
279,278,-3408.443269230769,-1070.0133653846153,104,105510.63871,139730.9182,175092.04545611786
280,279,-3370.8044999999997,-1145.1889999999999,20,-31070.049,46359.833,55808.44076526677
281,280,-3397.199798027243,-1324.868853922029,2129,-1921449.860044,-121142.98979,1925264.965826358
282,281,-3265.7080412371133,-1084.5904639175258,194,-500748.476,-135495.95986,518756.3892182007
283,282,-3036.899034749035,-977.3744826254826,259,291675.91593,-82461.06924,303108.34345792676
284,283,-3246.096594153637,-922.0126716519374,1471,-3245490.7462999998,884136.04988,3363763.7757453094
285,284,-288.08477669902913,2754.33427184466,103,24236.273409999994,-143631.8576,145662.30626497354
286,285,-857.0506857142858,2998.576,35,-27954.22223,8325.892000000003,29167.773622268294
287,286,-1107.84,-2436.1776923076923,52,25888.881000000012,-37376.10085,45466.54895834444
288,287,-3331.4978666666666,1678.6269333333335,75,175183.6105,15505.60228,175868.47668039106
289,288,-3133.407252747253,2003.1848717948717,273,151194.254001,-359175.4256,389700.76827979187
290,289,-3176.258666666667,1841.4995555555554,45,-131741.405,-79695.50630000001,153971.33342212558
291,290,-3194.277033898305,1723.1604237288136,236,553767.31321,-90768.53008,561156.9862638317
292,291,3571.0055223880595,-1002.095182835821,268,-640743.9583,-571556.99871,858621.1171828556
293,292,3402.1766666666667,-983.6453266666666,150,-72800.41645,-202595.94186999998,215278.92673804803
294,293,-2075.2814457831323,-1160.4398795180723,83,-58647.6529,127610.6114,140442.2134992207
295,294,-2839.5174193548387,-762.2554193548388,31,-75547.10849999999,122812.3548,144188.21066311855
296,295,-2979.1191304347826,1224.5460869565218,46,-18398.152102,20446.4529,27505.4437695567
297,296,3310.8320833333332,-631.258125,24,27293.5,-2100.5217000000002,27374.209279213363
298,297,-2602.6565853658535,-1112.8208455284553,246,-467212.3624,-172513.83904,498044.5926216928
299,298,-3715.4928571428572,329.72414285714285,21,34755.748,259761.881,262076.7002991637
